Name,Cuisines,Area,IsHomeDelivery,isTakeaway,isIndoorSeating,isVegOnly,Dinner Ratings,Dinner Reviews,Delivery Ratings,Delivery Reviews,AverageCost,cui_North_Indian,cui_Beverages,cui_Chinese,cui_Desserts,cui_Fast_Food,cui_Biryani,cui_South_Indian,cui_Street_Food,cui_Shake,cui_Mughlai,cui_Ice_Cream,cui_Bakery,cui_Pizza,cui_Burger,cui_Rolls,cui_Seafood,cui_Kebab,cui_Sandwich,cui_Momos,cui_Andhra,CuisineListStr
Sharief Bhai,"Mughlai, Arabian, Afghan, Biryani, Kebab, Street Food, Beverages",Indiranagar,1,1,1,0,3.9,159,3.9,5537,800,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,Mughlai|Arabian|Afghan|Biryani|Kebab|Street Food|Beverages
Beijing Bites,"Chinese, Thai, Seafood, Healthy Food",Indiranagar,1,1,1,0,3.2,22,4.0,456,800,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Chinese|Thai|Seafood|Healthy Food
Imperial Restaurant,"Mughlai, North Indian, Biryani, Chinese, Seafood, Ice Cream, Desserts, Beverages",Indiranagar,1,1,1,0,3.8,313,3.9,6489,700,1,1,1,1,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,Mughlai|North Indian|Biryani|Chinese|Seafood|Ice Cream|Desserts|Beverages
WOW! Momo,"Momos, Fast Food, Tibetan",Indiranagar,1,1,0,0,,0,4.2,1400,200,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Momos|Fast Food|Tibetan
Al Daaz,"North Indian, Continental, BBQ, Fast Food, Beverages",HSR,1,1,1,0,4.2,1523,4.3,63500,800,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,North Indian|Continental|BBQ|Fast Food|Beverages
New Udupi Grand,"South Indian, North Indian, Chinese, Street Food, Beverages, Shake",Jeevan Bhima Nagar,1,1,1,0,2.9,12,3.9,3184,300,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,South Indian|North Indian|Chinese|Street Food|Beverages|Shake
Anjappar,"Chettinad, Biryani, Chinese, Seafood, South Indian, Mughlai, North Indian, Desserts",Indiranagar,1,1,1,0,3.9,852,3.9,2759,800,1,0,1,1,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,Chettinad|Biryani|Chinese|Seafood|South Indian|Mughlai|North Indian|Desserts
Barbeque Nation,"BBQ, Mughlai, Biryani, North Indian, Desserts, Beverages",Indiranagar,1,1,1,0,4.6,12900,3.6,1911,1600,1,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,BBQ|Mughlai|Biryani|North Indian|Desserts|Beverages
Faasos - Wraps & Rolls,"North Indian, Desserts, Wraps, Beverages",Indiranagar,1,0,0,0,,0,3.8,6138,200,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,North Indian|Desserts|Wraps|Beverages
Kwality Wall’s Frozen Dessert and Ice Cream Shop,Ice Cream,Indiranagar,1,0,0,0,,0,4.3,82,100,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Ice Cream
CakeZone,"Bakery, Desserts",Domlur,1,1,0,0,,0,4.0,5068,300,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Bakery|Desserts
Hari Super Sandwich,"Fast Food, Sandwich, Street Food",Brigade Road,1,1,1,1,3.2,13,3.6,859,200,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,Fast Food|Sandwich|Street Food
Kapoor's Cafe,"North Indian, Beverages, Desserts",Kalyan Nagar,1,1,1,0,4.2,731,3.9,3021,700,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,North Indian|Beverages|Desserts
Sardarji Londonwaley,"North Indian, Chinese",Thippasandra,1,0,0,0,,0,3.7,4831,150,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,North Indian|Chinese
La Pino'z Pizza,"Pizza, Fast Food",Indiranagar,1,1,1,0,3.7,2,4.1,100,500,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Pizza|Fast Food
Potful - Claypot Biryanis,"Biryani, Kebab, Mughlai, North Indian, Desserts, Beverages",Thippasandra,1,1,0,0,,0,4.2,1485,300,1,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,Biryani|Kebab|Mughlai|North Indian|Desserts|Beverages
Lassi Shop,"Fast Food, Ice Cream, Desserts, Shake, Beverages",Jeevan Bhima Nagar,1,1,0,0,,0,4.2,4083,100,0,1,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,Fast Food|Ice Cream|Desserts|Shake|Beverages
California Burrito,"Mexican, Fast Food, Beverages, Desserts",Indiranagar,1,1,1,0,4.1,411,4.2,6910,500,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Mexican|Fast Food|Beverages|Desserts
Paratha Envy,North Indian,Thippasandra,1,0,0,0,,0,4.3,6687,150,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,North Indian
Glen's Bakehouse,"Bakery, Italian, Pizza, Sandwich, Street Food, Desserts, Beverages",Indiranagar,1,1,1,0,4.2,5867,4.1,7550,400,0,1,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,Bakery|Italian|Pizza|Sandwich|Street Food|Desserts|Beverages
Donne Biriyani House,"Biryani, South Indian",Kammanahalli,1,1,0,0,,0,3.7,1860,150,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Biryani|South Indian
NIC - Natural Ice Creams,Ice Cream,Indiranagar,1,0,0,1,,0,4.4,1921,100,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Ice Cream
Royal Restaurant,"North Indian, Chinese",Shivajinagar,1,1,1,0,4.0,220,4.0,19200,200,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,North Indian|Chinese
New Krishna Sagar,"South Indian, North Indian, Chinese, Beverages",Indiranagar,1,1,1,1,3.5,80,3.5,8983,350,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,South Indian|North Indian|Chinese|Beverages
Ambur Star Briyani Since 1890,"Biryani, Andhra, Chinese, Beverages",Indiranagar,1,1,1,0,3.2,88,4.3,4210,700,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Biryani|Andhra|Chinese|Beverages
Call Me Chow,"Chinese, Japanese, Thai, Indonesian, Asian",Kalyan Nagar,1,1,0,0,,0,4.2,939,200,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Chinese|Japanese|Thai|Indonesian|Asian
Andhra Biryanis,"Biryani, Andhra, Chinese, North Indian",Indiranagar,1,0,0,0,,0,4.0,2529,250,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Biryani|Andhra|Chinese|North Indian
Falahaar & Kota Kachori,"North Indian, Rajasthani, Fast Food, Street Food, Mithai, Beverages",Indiranagar,1,0,0,0,,0,3.7,3061,100,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,North Indian|Rajasthani|Fast Food|Street Food|Mithai|Beverages
Ludos Pizza,"Pizza, Desserts",Indiranagar,1,0,0,0,,0,4.0,191,200,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Pizza|Desserts
WarmOven Cake & Desserts,"Bakery, Desserts",Indiranagar,1,0,0,0,,0,4.0,11400,350,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Bakery|Desserts
LunchBox - Meals and Thalis,"North Indian, Healthy Food, Beverages, Chinese",Indiranagar,1,0,0,0,,0,3.5,213,200,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,North Indian|Healthy Food|Beverages|Chinese
Goli Vada Pav,"Street Food, Fast Food, Burger, Ice Cream, Desserts",Thippasandra,1,1,0,0,3.1,1,3.4,65,350,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,Street Food|Fast Food|Burger|Ice Cream|Desserts
Meat And Eat,"Burger, Fast Food, Desserts, Beverages, BBQ, Sandwich, Finger Food",Domlur,1,1,1,0,3.3,75,3.8,2009,400,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,Burger|Fast Food|Desserts|Beverages|BBQ|Sandwich|Finger Food
Adiga's,"South Indian, North Indian, Chinese, Street Food, Desserts, Ice Cream, Beverages",Indiranagar,1,1,1,1,2.8,351,3.9,5088,800,1,1,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,South Indian|North Indian|Chinese|Street Food|Desserts|Ice Cream|Beverages
Rahhams,"Biryani, Mughlai, North Indian, Kebab, Chinese, Seafood, Rolls, Beverages",Old Airport Road,1,1,1,0,2.4,437,3.6,1603,700,1,1,1,0,0,1,0,0,0,1,0,0,0,0,1,1,1,0,0,0,Biryani|Mughlai|North Indian|Kebab|Chinese|Seafood|Rolls|Beverages
Great Indian Khichdi,"Healthy Food, Beverages",Indiranagar,1,0,0,0,,0,4.1,640,150,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Healthy Food|Beverages
Ambur Biryani Point,"Biryani, Fast Food",Koramangala 1st Block,1,1,1,0,3.3,18,4.3,17500,200,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Biryani|Fast Food
The Punjabi Rasoi,"North Indian, Chinese, Mughlai",Brookefield,1,0,0,0,,0,4.0,1668,150,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,North Indian|Chinese|Mughlai
Smoor,"Desserts, Cafe, Pizza, Asian, Thai, Italian, Beverages, Shake",Indiranagar,1,1,1,0,4.6,2129,4.3,4721,900,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,Desserts|Cafe|Pizza|Asian|Thai|Italian|Beverages|Shake
Krispy Kreme,"Desserts, Beverages",Indiranagar,1,0,1,1,3.9,310,4.2,1918,400,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Desserts|Beverages
Savoury Express,"Mughlai, North Indian, Fast Food, Chinese, Desserts, Beverages, Shake",Jeevan Bhima Nagar,1,1,1,0,2.9,69,3.8,4562,800,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,Mughlai|North Indian|Fast Food|Chinese|Desserts|Beverages|Shake
Pathaan Sir,"Fast Food, Momos, Rolls, Kebab, Juices",Indiranagar,1,1,1,0,2.8,265,4.0,12900,300,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,Fast Food|Momos|Rolls|Kebab|Juices
Biryani By Kilo,"Biryani, Mughlai, Kebab, Hyderabadi",Koramangala 6th Block,1,1,1,0,4.0,169,4.1,1461,700,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,Biryani|Mughlai|Kebab|Hyderabadi
Thalaivars Biryani,"Biryani, South Indian",Indiranagar,1,0,0,0,,0,4.0,1469,250,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Biryani|South Indian
Big Bowl Company,"North Indian, Chinese, Biryani, Fast Food, Momos",Indiranagar,1,0,0,0,,0,3.8,73,200,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,North Indian|Chinese|Biryani|Fast Food|Momos
Shanthi Sagar,"South Indian, North Indian, Chinese, Beverages, Desserts, Shake",Ulsoor,1,1,1,1,3.8,207,4.2,19100,250,1,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,South Indian|North Indian|Chinese|Beverages|Desserts|Shake
New Udupi Garden,"South Indian, North Indian, Beverages, Chinese",Old Airport Road,1,1,1,1,3.5,58,3.9,6603,350,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,South Indian|North Indian|Beverages|Chinese
Cakewala,"Bakery, Desserts",HSR,1,1,0,0,,0,4.2,13600,100,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Bakery|Desserts
Baskin Robbins,"Ice Cream, Desserts, Beverages",Indiranagar,1,0,1,1,,2,4.0,269,400,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Ice Cream|Desserts|Beverages
Chulha Chauki Da Dhaba,"North Indian, Biryani, Chinese, Beverages",Marathahalli,1,1,1,0,4.5,2982,4.0,5034,1000,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,North Indian|Biryani|Chinese|Beverages
Asha Sweet Center,"Mithai, Street Food",Indiranagar,1,1,1,1,2.3,5,4.4,1071,400,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Mithai|Street Food
Chai Point,"Tea, North Indian, Fast Food, Street Food, Beverages",Indiranagar,1,1,1,0,2.4,8,3.9,371,400,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Tea|North Indian|Fast Food|Street Food|Beverages
